artists,title,points,pos,max_pos,year_released,year_charts,weeks_top10,title_spotify,artist_spotify,id_spotify,match_score,image,tags
Frida Gold,Liebe ist meine Rebellion,19,47,4,2013,2013,5,Liebe ist meine Rebellion,Frida Gold,4bHUgGEJrHuTFrRYiF7zHI,1.0000000715255737,https://i.scdn.co/image/ab67616d0000b273c8f04b941b9b6a10d9659ac5,"['christian alexander tietgen', 'party', 'german', 'herz-2', 'pop dance']"
Emeli Sande,Read All About It (Part 3),17,48,5,2012,2013,3,Read All About It,"Professor Green, Emeli Sandé",3bcxgkDLMe1VMrvHickfiB,0.9388059735298157,https://i.scdn.co/image/ab67616d0000b2733804f59392452edd9c2b46b8,[]
Alicia Keys feat. Nicki Minaj,Girl On Fire,16,49,4,2012,2013,4,Girl on Fire,Alicia Keys,4esOae7i4rqTbAu9o5Pxco,0.9408647418022156,https://i.scdn.co/image/ab67616d0000b273a4fe49eb27e8152710e7a590,"['pop', 'soul', 'rnb', 'female vocalists', '2012']"
Sido feat. Mark Forster,Einer dieser Steine,16,50,4,2013,2013,3,Einer dieser Steine,"Sido, Mark Forster",2to0CcdUoQsqBWGOU7uYo3,1.0000000357627867,https://i.scdn.co/image/ab67616d0000b27334192aac5bc8790eddc053c8,"['christian alexander tietgen', 'Einer dieser Steine']"
OneRepublic,If I Lose Myself,15,51,6,2013,2013,3,If I Lose Myself,OneRepublic,5xS9R5yNeVsB9shSR60eX3,1.0,https://i.scdn.co/image/ab67616d0000b2739e2f95ae77cf436017ada9cb,"['pop', 'rock', 'electronic', 'alternative', '2013']"
Depeche Mode,Heaven,15,52,2,2013,2013,1,Heaven,Depeche Mode,1bgVQ6LgCqGR3FhsOcM5Jx,0.9999999582767488,https://i.scdn.co/image/ab67616d0000b27347025b8847c28651f98c110b,"['electronic', 'synthpop', 'alternative', '2013', 'new wave']"
Lorde,Royals,14,53,9,2013,2013,5,Royals,Lorde,4SDWMFvYJKtK1QPhIOeZhd,1.0000001192092896,https://i.scdn.co/image/ab67616d0000b273244fb8bb9594476ab5cb39b9,"['pop', 'indie', 'Lorde', 'electronic', '2013']"
Madcon feat. Kelly Rowland,One Life,14,54,6,2013,2013,4,One Life,Mike Perry,32UWWCkjGBumY1QclHhTH3,0.7991658449172974,https://i.scdn.co/image/ab67616d0000b273e8d1b34630c6a25a7ff1a03a,"['featuring', '2013 single']"
Miley Cyrus,Wrecking Ball,12,55,6,2013,2013,2,Wrecking Ball,Miley Cyrus,2vwlzO0Qp8kfEtzTsCXfyE,1.0,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c,"['pop', 'love at first listen', '2013', 'Ballad', 'Miley Cyrus']"
Wiz Khalifa feat. 2 Chainz,We Own It (Fast & Furious),12,56,5,2013,2013,2,We Own It (Fast & Furious),"2 Chainz, Wiz Khalifa",2OQJKTtrH482waGFmOfJni,0.9916189670562744,https://i.scdn.co/image/ab67616d0000b273b4366694590f7164fad21fc7,[]
Sean Paul,Other Side Of Love,12,57,3,2013,2013,1,Other Side of Love,Sean Paul,4RdUpI3iTwqzCQe9ttKB5Q,1.0000000357627867,https://i.scdn.co/image/ab67616d0000b2738582e1ecf6c7c4f64d318df9,"['2013', 'pop', 'Sean Paul', '2013 single', 'hip hop']"
Seeed,Augenbling,9,58,7,2012,2013,3,Augenbling,Seeed,4eT8TcG3KKlprFcYePA9gw,1.0000001192092896,https://i.scdn.co/image/ab67616d0000b2734ee35a7450f3c8476654a256,"['reggae', 'dancehall', 'german', 'deutsch', 'german reggae']"
The Lumineers,Ho Hey,9,59,5,2013,2013,2,Ho Hey,The Lumineers,0DwClY2t9YAWHBROMIgrXb,0.9999999582767488,https://i.scdn.co/image/ab67616d0000b273f350c13195ce048876b5fea4,"['indie', 'folk', 'alternative', 'folk rock', 'Love']"
Swedish House Mafia feat. John Martin,Don't You Worry Child,8,60,9,2012,2013,3,Don't You Worry Child,"Swedish House Mafia, John Martin",043bfUkTydw0xJ5JjOT91w,1.0000000357627867,https://i.scdn.co/image/ab67616d0000b273781f6dd5abe91929df0314e3,"['electronic', 'House', 'dance', '2012', 'Swedish House Mafia']"
Adele,Skyfall (James Bond Soundtrack),8,61,7,2012,2013,2,Skyfall,Adele,6VObnIkLVruX4UVyxWhlqm,1.0,https://i.scdn.co/image/ab67616d0000b2732737be35cc5245eef495be90,[]
Flo Rida feat. Pitbull,Can't Believe It,8,62,4,2013,2013,1,Can't Believe It (feat. Pitbull),"Flo Rida, Pitbull",1kxyZ2SpflM1ogD0B5hgfX,1.0000000834465026,https://i.scdn.co/image/ab67616d0000b273298b2a8b04fae7951939294f,"['party', '2013 single']"
Casper,Im Ascheregen,8,63,4,2013,2013,1,Im Ascheregen,Casper,22Mmr6bWntkodqm5CELKsm,1.0000000834465026,https://i.scdn.co/image/ab67616d0000b2730459338f733624f47269a708,"['rap', 'german', 'hip hop', 'emo rap', 'Hip-Hop']"
Prince Kay One feat. The Product G&B,V.I.P.,8,64,4,2013,2013,1,V.I.P.,"Kay One, The Product G&B",6M8DGrxAeyKnqk01pP6Y1S,0.9496526479721068,https://i.scdn.co/image/ab67616d0000b273802244f4a5c68f1bc492537b,[]
Wax,Rosana,7,65,7,2013,2013,2,Rosana,Wax,73ACPH1HBxaFvjbPqvs5O2,1.0000000357627867,https://i.scdn.co/image/ab67616d0000b273e1e60e6ba0ee4552fec40f99,"['Hip-Hop', 'rap', '2013', 'christian alexander tietgen', 'electronic']"
